SOC Group,SOC Code,SOC Title,title_lower,SOC Definition,From Occupation Data,50 highest-paying jobs in America,Highest-paying jobs for high school graduates,Highest paying jobs in education,50 fastest-growing jobs for the future,Fastest-growing jobs that pay over $100K,Generated,Stacker Description
Detailed,29-2099,"Health Technologists and Technicians, All Other","health technologists and technicians, all other",All health technologists and technicians not listed separately.,All health technologists and technicians not listed separately.,,,,,,,"Health technologists and technicians encompass a diverse group of medical support professionals who perform specialized tasks across various healthcare settings. These skilled workers operate medical equipment, conduct diagnostic tests, assist with patient care, and support clinical operations. Their specialized training allows them to work in emerging healthcare fields and adapt to new medical technologies as the industry evolves."
Detailed,29-9021,Health Information Technologists and Medical Registrars,health information technologists and medical registrars,"Apply knowledge of healthcare and information systems to assist in the design, development, and continued modification and analysis of computerized healthcare systems. Abstract, collect, and analyze treatment and followup information of patients. May educate staff and assist in problem solving to promote the implementation of the healthcare information system. May design, develop, test, and implement databases with complete history, diagnosis, treatment, and health status to help monitor diseases. Excludes “Medical Records Specialists” (29‐2072).","Apply knowledge of healthcare and information systems to assist in the design, development, and continued modification and analysis of computerized healthcare systems. Abstract, collect, and analyze treatment and followup information of patients. May educate staff and assist in problem solving to promote the implementation of the healthcare information system. May design, develop, test, and implement databases with complete history, diagnosis, treatment, and health status to help monitor diseases.",,,,,,,"Health information technologists bridge the gap between healthcare and technology by designing and managing electronic medical record systems. They collect and analyze patient data, create databases to track treatment outcomes, and help healthcare facilities implement new information systems. These professionals play a crucial role in modern medicine by ensuring accurate health records and supporting evidence-based medical decisions through data analysis."
Detailed,29-9091,Athletic Trainers,athletic trainers,"Evaluate and treat musculoskeletal injuries or illnesses. Provide preventive, therapeutic, emergency, and rehabilitative care. Excludes “Physical Therapists” (29-1123).","Evaluate and treat musculoskeletal injuries or illnesses. Provide preventive, therapeutic, emergency, and rehabilitative care.",,,,,,,"Athletic trainers work on the front lines of sports medicine, preventing and treating injuries for athletes at all levels. They assess musculoskeletal problems, provide emergency care during games, and develop rehabilitation programs to help athletes return to peak performance. Most athletic trainers earn a master's degree from an accredited program and must pass a national certification exam to practice professionally."
Detailed,29-9092,Genetic Counselors,genetic counselors,"Assess individual or family risk for a variety of inherited conditions, such as genetic disorders and birth defects. Provide information to other healthcare providers or to individuals and families concerned with the risk of inherited conditions. Advise individuals and families to support informed decisionmaking and coping methods for those at risk. May help conduct research related to genetic conditions or genetic counseling.","Assess individual or family risk for a variety of inherited conditions, such as genetic disorders and birth defects. Provide information to other healthcare providers or to individuals and families concerned with the risk of inherited conditions. Advise individuals and families to support informed decisionmaking and coping methods for those at risk. May help conduct research related to genetic conditions or genetic counseling.",,,,,,,"Genetic counselors bridge the gap between complex genetic science and patient care by helping individuals and families understand their risk for inherited conditions. They interpret genetic test results, explain treatment options, and provide emotional support during difficult decisions. This specialized field typically requires a master's degree in genetic counseling and certification through the American Board of Genetic Counseling."
Detailed,29-9093,Surgical Assistants,surgical assistants,"Assist in operations, under the supervision of surgeons. May, in accordance with state laws, help surgeons to make incisions and close surgical sites, manipulate or remove tissues, implant surgical devices or drains, suction the surgical site, place catheters, clamp or cauterize vessels or tissue, and apply dressings to surgical site. Excludes “Registered Nurses” (29-1141) and “Surgical Technologists” (29-2055).","Assist in operations, under the supervision of surgeons. May, in accordance with state laws, help surgeons to make incisions and close surgical sites, manipulate or remove tissues, implant surgical devices or drains, suction the surgical site, place catheters, clamp or cauterize vessels or tissue, and apply dressings to surgical site.",,,,,,,"Surgical assistants work alongside surgeons in operating rooms, performing critical tasks that ensure procedures run smoothly and safely. Under direct supervision, they may make incisions, suture wounds, control bleeding, and handle surgical instruments. These healthcare professionals typically complete specialized training programs and must maintain certification while working in one of medicine's most demanding environments."
Detailed,29-9099,"Healthcare Practitioners and Technical Workers, All Other","healthcare practitioners and technical workers, all other",All healthcare practitioners and technical workers not listed separately.,All healthcare practitioners and technical workers not listed separately.,,,,,,,"This diverse category encompasses emerging and specialized healthcare roles that don't fit traditional classifications, from perfusionists who operate heart-lung machines to orthotic technicians who craft custom medical devices. These professionals often require specialized training or certification and play increasingly important roles as healthcare technology advances and patient needs become more complex."
Detailed,31-1121,Home Health Aides,home health aides,"Monitor the health status of an individual with disabilities or illness, and address their health-related needs, such as changing bandages, dressing wounds, or administering medication. Work is performed under the direction of offsite or intermittent onsite licensed nursing staff. Provide assistance with routine healthcare tasks or activities of daily living, such as feeding, bathing, toileting, or ambulation. May also help with tasks such as preparing meals, doing light housekeeping, and doing laundry depending on the patient’s abilities.","Monitor the health status of an individual with disabilities or illness, and address their health-related needs, such as changing bandages, dressing wounds, or administering medication. Work is performed under the direction of offsite or intermittent onsite licensed nursing staff. Provide assistance with routine healthcare tasks or activities of daily living, such as feeding, bathing, toileting, or ambulation. May also help with tasks such as preparing meals, doing light housekeeping, and doing laundry depending on the patient's abilities.",,,,,,,"Home health aides provide essential personal care services that allow people with disabilities or chronic illnesses to remain in their homes rather than institutional settings. They assist with daily activities like bathing, medication management, and wound care while offering companionship and monitoring patients' health status. Most states require certification, and the role demands both medical knowledge and compassionate interpersonal skills."
Detailed,31-1122,Personal Care Aides,personal care aides,"Provide personalized assistance to individuals with disabilities or illness who require help with personal care and activities of daily living support (e.g., feeding, bathing, dressing, grooming, toileting, and ambulation). May also provide help with tasks such as preparing meals, doing light housekeeping, and doing laundry. Work is performed in various settings depending on the needs of the care recipient and may include locations such as their home, place of work, out in the community, or at a daytime nonresidential facility.","Provide personalized assistance to individuals with disabilities or illness who require help with personal care and activities of daily living support (e.g., feeding, bathing, dressing, grooming, toileting, and ambulation). May also provide help with tasks such as preparing meals, doing light housekeeping, and doing laundry. Work is performed in various settings depending on the needs of the care recipient and may include locations such as their home, place of work, out in the community, or at a daytime nonresidential facility.",,,,,,,"Personal care aides provide essential support to individuals with disabilities or chronic illnesses who need assistance with daily activities like bathing, dressing, meal preparation, and light housekeeping. They work in diverse settings including clients' homes, community locations, and day facilities. This role requires patience, compassion, and physical stamina, as aides help maintain their clients' independence and dignity while ensuring their safety and comfort."
Detailed,31-1131,Nursing Assistants,nursing assistants,"Provide or assist with basic care or support under the direction of onsite licensed nursing staff. Perform duties such as monitoring of health status, feeding, bathing, dressing, grooming, toileting, or ambulation of patients in a health or nursing facility. May include medication administration and other health-related tasks. Includes nursing care attendants, nursing aides, and nursing attendants. Excludes “Home Health Aides” (31-1121), “Personal Care Aides” (31-1122), “Orderlies” (31-1132), and “Psychiatric Aides” (31-1133).","Provide or assist with basic care or support under the direction of onsite licensed nursing staff. Perform duties such as monitoring of health status, feeding, bathing, dressing, grooming, toileting, or ambulation of patients in a health or nursing facility. May include medication administration and other health-related tasks. Includes nursing care attendants, nursing aides, and nursing attendants.",,,,,,,"Nursing assistants work under licensed nursing supervision to provide fundamental patient care in hospitals, nursing homes, and healthcare facilities. They monitor patients' vital signs, assist with personal hygiene, help with mobility, and may administer basic medications. These healthcare workers serve as the primary daily contact for many patients, requiring strong communication skills and the ability to handle physically and emotionally demanding situations."
Detailed,31-1132,Orderlies,orderlies,"Transport patients to areas such as operating rooms or x-ray rooms using wheelchairs, stretchers, or moveable beds. May maintain stocks of supplies or clean and transport equipment. Excludes “Nursing Assistants” (31-1131). Psychiatric orderlies are included in “Psychiatric Aides” (31-1133).","Transport patients to areas such as operating rooms or x-ray rooms using wheelchairs, stretchers, or moveable beds. May maintain stocks of supplies or clean and transport equipment. Psychiatric orderlies are included in Psychiatric Aides.",,,,,,,"Orderlies ensure smooth operations in healthcare facilities by safely transporting patients between departments using wheelchairs, stretchers, and hospital beds. They also maintain medical supply inventories and clean equipment between uses. This role requires physical strength and attention to detail, as orderlies play a crucial part in patient safety during transfers to operating rooms, imaging departments, and other treatment areas."
Detailed,31-1133,Psychiatric Aides,psychiatric aides,"Assist mentally impaired or emotionally disturbed patients, working under direction of nursing and medical staff. May assist with daily living activities, lead patients in educational and recreational activities, or accompany patients to and from examinations and treatments. May restrain violent patients. Includes psychiatric orderlies.","Assist mentally impaired or emotionally disturbed patients, working under direction of nursing and medical staff. May assist with daily living activities, lead patients in educational and recreational activities, or accompany patients to and from examinations and treatments. May restrain violent patients. Includes psychiatric orderlies.",,,,,,,"Psychiatric aides support patients with mental health conditions under the supervision of medical and nursing staff. They assist with daily living activities, facilitate educational and recreational programs, and provide companionship during medical appointments. The role can be challenging, as aides may need to de-escalate situations and occasionally restrain patients experiencing violent episodes, requiring specialized training in mental health care techniques."
Detailed,31-2011,Occupational Therapy Assistants,occupational therapy assistants,"Assist occupational therapists in providing occupational therapy treatments and procedures. May, in accordance with state laws, assist in development of treatment plans, carry out routine functions, direct activity programs, and document the progress of treatments. Generally requires formal training.","Assist occupational therapists in providing occupational therapy treatments and procedures. May, in accordance with state laws, assist in development of treatment plans, carry out routine functions, direct activity programs, and document the progress of treatments. Generally requires formal training.",,,,,,,"Occupational therapy assistants help patients regain independence by implementing treatment plans designed by licensed occupational therapists. They guide patients through therapeutic activities, document progress, and may lead specialized programs focused on improving daily living skills. This role requires formal training and offers the rewarding opportunity to witness patients overcome physical, mental, or developmental challenges to achieve greater autonomy."
Detailed,31-2012,Occupational Therapy Aides,occupational therapy aides,"Under close supervision of an occupational therapist or occupational therapy assistant, perform only delegated, selected, or routine tasks in specific situations. These duties include preparing patient and treatment room.","Under close supervision of an occupational therapist or occupational therapy assistant, perform only delegated, selected, or routine tasks in specific situations. These duties include preparing patient and treatment room.",,,,,,,"Occupational therapy aides work under close supervision to support patient care in rehabilitation settings. They prepare treatment rooms, organize equipment, and help patients get ready for therapy sessions. While they don't provide direct treatment, their behind-the-scenes work ensures occupational therapists can focus on delivering specialized care to help patients regain independence in daily activities."
Detailed,31-2021,Physical Therapist Assistants,physical therapist assistants,"Assist physical therapists in providing physical therapy treatments and procedures. May, in accordance with state laws, assist in the development of treatment plans, carry out routine functions, document the progress of treatment, and modify specific treatments in accordance with patient status and within the scope of treatment plans established by a physical therapist. Generally requires formal training.","Assist physical therapists in providing physical therapy treatments and procedures. May, in accordance with state laws, assist in the development of treatment plans, carry out routine functions, document the progress of treatment, and modify specific treatments in accordance with patient status and within the scope of treatment plans established by a physical therapist. Generally requires formal training.",,,,,,,"Physical therapist assistants work directly with patients to implement treatment plans developed by licensed physical therapists. They guide patients through exercises, apply therapeutic techniques, and monitor progress during recovery from injuries or surgeries. Most states require formal training through an accredited program, and assistants can modify treatments within established parameters based on patient responses."
Detailed,31-2022,Physical Therapist Aides,physical therapist aides,"Under close supervision of a physical therapist or physical therapy assistant, perform only delegated, selected, or routine tasks in specific situations. These duties include preparing the patient and the treatment area.","Under close supervision of a physical therapist or physical therapy assistant, perform only delegated, selected, or routine tasks in specific situations. These duties include preparing the patient and the treatment area.",,,,,,,"Physical therapist aides provide essential support in rehabilitation clinics by preparing patients and treatment areas for therapy sessions. Working under direct supervision, they handle routine tasks like setting up equipment, maintaining clean treatment spaces, and helping patients transition between activities. Their organizational skills help physical therapy teams operate efficiently and focus on patient care."
Detailed,31-9011,Massage Therapists,massage therapists,"Perform therapeutic massages of soft tissues and joints. May assist in the assessment of range of motion and muscle strength, or propose client therapy plans.","Perform therapeutic massages of soft tissues and joints. May assist in the assessment of range of motion and muscle strength, or propose client therapy plans.",,,,,,,"Massage therapists use hands-on techniques to manipulate soft tissues and joints, helping clients manage pain, reduce stress, and improve circulation. They assess muscle tension and range of motion, then apply various massage techniques tailored to individual needs. Many work in spas, wellness centers, or healthcare facilities, and most states require licensing and continuing education."
Detailed,31-9091,Dental Assistants,dental assistants,"Perform limited clinical duties under the direction of a dentist. Clinical duties may include equipment preparation and sterilization, preparing patients for treatment, assisting the dentist during treatment, and providing patients with instructions for oral healthcare procedures. May perform administrative duties such as scheduling appointments, maintaining medical records, billing, and coding information for insurance purposes.","Perform limited clinical duties under the direction of a dentist. Clinical duties may include equipment preparation and sterilization, preparing patients for treatment, assisting the dentist during treatment, and providing patients with instructions for oral healthcare procedures. May perform administrative duties such as scheduling appointments, maintaining medical records, billing, and coding information for insurance purposes.",,,,,,,"Dental assistants multitask between clinical and administrative duties to keep dental practices running smoothly. They prepare patients for procedures, sterilize instruments, assist dentists during treatments, and provide post-care instructions. Many also handle scheduling, billing, and insurance coding. Most learn through on-the-job training or short-term certificate programs, making this an accessible healthcare career."
Detailed,31-9092,Medical Assistants,medical assistants,"Perform administrative and certain clinical duties under the direction of a physician. Administrative duties may include scheduling appointments, maintaining medical records, billing, and coding information for insurance purposes. Clinical duties may include taking and recording vital signs and medical histories, preparing patients for examination, drawing blood, and administering medications as directed by physician. Excludes “Physician Assistants” (29-1071).","Perform administrative and certain clinical duties under the direction of a physician. Administrative duties may include scheduling appointments, maintaining medical records, billing, and coding information for insurance purposes. Clinical duties may include taking and recording vital signs and medical histories, preparing patients for examination, drawing blood, and administering medications as directed by physician.",,,,,,,"Medical assistants serve as vital bridges between patients and physicians, handling both administrative and clinical responsibilities. They schedule appointments, maintain medical records, and process insurance billing while also taking vital signs, drawing blood, and preparing patients for examinations. Most medical assistants complete postsecondary education programs, though some learn through on-the-job training in physicians' offices and healthcare facilities."
Detailed,31-9093,Medical Equipment Preparers,medical equipment preparers,"Prepare, sterilize, install, or clean laboratory or healthcare equipment. May perform routine laboratory tasks and operate or inspect equipment.","Prepare, sterilize, install, or clean laboratory or healthcare equipment. May perform routine laboratory tasks and operate or inspect equipment.",,,,,,,"Medical equipment preparers ensure healthcare facilities operate safely and efficiently by sterilizing, cleaning, and maintaining critical medical instruments and laboratory equipment. They perform routine equipment inspections, prepare surgical tools for procedures, and may conduct basic laboratory tasks. This behind-the-scenes role requires attention to detail and knowledge of proper sterilization protocols to prevent infections and equipment failures."
Detailed,31-9094,Medical Transcriptionists,medical transcriptionists,"Transcribe medical reports recorded by physicians and other healthcare practitioners using various electronic devices, covering office visits, emergency room visits, diagnostic imaging studies, operations, chart reviews, and final summaries. Transcribe dictated reports and translate abbreviations into fully understandable form. Edit as necessary and return reports in either printed or electronic form for review and signature, or correction.","Transcribe medical reports recorded by physicians and other healthcare practitioners using various electronic devices, covering office visits, emergency room visits, diagnostic imaging studies, operations, chart reviews, and final summaries. Transcribe dictated reports and translate abbreviations into fully understandable form. Edit as necessary and return reports in either printed or electronic form for review and signature, or correction.",,,,,,,"Medical transcriptionists convert recorded medical reports from physicians and healthcare practitioners into accurate written documents. They listen to dictated notes from office visits, surgeries, and diagnostic procedures, translating medical abbreviations and terminology into comprehensive reports. These professionals must possess strong listening skills, medical vocabulary knowledge, and typing proficiency to ensure patient records remain precise and legally compliant."
Detailed,31-9095,Pharmacy Aides,pharmacy aides,"Record drugs delivered to the pharmacy, store incoming merchandise, and inform the supervisor of stock needs. May operate cash register and accept prescriptions for filling.","Record drugs delivered to the pharmacy, store incoming merchandise, and inform the supervisor of stock needs. May operate cash register and accept prescriptions for filling.",,,,,,,"Pharmacy aides support pharmacists and pharmacy technicians by managing inventory, organizing medications, and handling basic customer service tasks. They receive and stock pharmaceutical deliveries, operate cash registers, and accept prescription orders from customers. While entry-level positions typically require only a high school diploma, pharmacy aides must understand medication storage requirements and maintain accurate inventory records."
Detailed,31-9096,Veterinary Assistants and Laboratory Animal Caretakers,veterinary assistants and laboratory animal caretakers,"Feed, water, and examine pets and other nonfarm animals for signs of illness, disease, or injury in laboratories and animal hospitals and clinics. Clean and disinfect cages and work areas, and sterilize laboratory and surgical equipment. May provide routine postoperative care, administer medication orally or topically, or prepare samples for laboratory examination under the supervision of veterinary or laboratory animal technologists or technicians, veterinarians, or scientists. Excludes “Animal Caretakers” (39-2021).","Feed, water, and examine pets and other nonfarm animals for signs of illness, disease, or injury in laboratories and animal hospitals and clinics. Clean and disinfect cages and work areas, and sterilize laboratory and surgical equipment. May provide routine postoperative care, administer medication orally or topically, or prepare samples for laboratory examination under the supervision of veterinary or laboratory animal technologists or technicians, veterinarians, or scientists.",,,,,,,"Veterinary assistants and laboratory animal caretakers provide essential support in animal hospitals, clinics, and research facilities. They feed and monitor animals for signs of illness, clean enclosures, sterilize equipment, and assist with basic medical procedures under veterinary supervision. This hands-on role requires compassion for animals, physical stamina, and the ability to handle stressed or injured pets safely."
Detailed,31-9097,Phlebotomists,phlebotomists,"Draw blood for tests, transfusions, donations, or research. May explain the procedure to patients and assist in the recovery of patients with adverse reactions.","Draw blood for tests, transfusions, donations, or research. May explain the procedure to patients and assist in the recovery of patients with adverse reactions.",,,,,,,"Phlebotomists draw blood samples for medical testing, transfusions, donations, and research purposes. These healthcare professionals must put patients at ease during what can be an uncomfortable procedure, explaining each step while ensuring proper technique to avoid complications. They also monitor patients for adverse reactions and provide immediate care when needed."
Detailed,31-9099,"Healthcare Support Workers, All Other","healthcare support workers, all other",All healthcare support workers not listed separately.,All healthcare support workers not listed separately.,,,,,,,"Healthcare support workers encompass a diverse range of professionals who provide essential services in medical settings. This broad category includes roles like medical equipment preparers, patient transporters, and various specialized assistants who help keep healthcare facilities running smoothly. These workers often serve as the backbone of medical operations, ensuring patients receive comprehensive care."
Detailed,33-1011,First-Line Supervisors of Correctional Officers,first-line supervisors of correctional officers,Directly supervise and coordinate activities of correctional officers and jailers.,Directly supervise and coordinate activities of correctional officers and jailers.,,<p>First-line supervisors of correctional officers oversee the activities of correctional officers in jails and prisons. Most are employed by state and local governments. California and Texas boast the largest number of jobs for these supervisors.</p>,,,,,"First-line supervisors of correctional officers manage daily operations within jails, prisons, and detention facilities. They coordinate staff schedules, oversee security protocols, and ensure inmates are housed safely and securely. These supervisors handle disciplinary issues among both staff and inmates while maintaining institutional order and compliance with regulations."
Detailed,33-1012,First-Line Supervisors of Police and Detectives,first-line supervisors of police and detectives,Directly supervise and coordinate activities of members of police force.,Directly supervise and coordinate activities of members of police force.,,"<p>First-line supervisors of police and detectives supervise and coordinate the overall operations of a police force, whether they work at the local, state, or federal level. Smaller numbers of these supervisors also work at junior colleges and four-year universities on university police forces.</p>",,,,,"First-line supervisors of police and detectives lead law enforcement teams in their daily operations and investigations. They assign cases, coordinate patrol schedules, and provide guidance during complex criminal investigations. These supervisors also handle administrative duties, performance evaluations, and ensure their officers follow proper procedures while serving their communities."
Detailed,33-1021,First-Line Supervisors of Firefighting and Prevention Workers,first-line supervisors of firefighting and prevention workers,Directly supervise and coordinate activities of workers engaged in firefighting and fire prevention and control.,Directly supervise and coordinate activities of workers engaged in firefighting and fire prevention and control.,,,,,,,"First-line supervisors of firefighting and prevention workers coordinate emergency response teams and fire prevention activities. They manage station operations, oversee equipment maintenance, and lead crews during emergency calls ranging from structure fires to medical emergencies. These supervisors also develop training programs and ensure their teams stay prepared for diverse emergency situations."
Detailed,33-1091,First-Line Supervisors of Security Workers,first-line supervisors of security workers,Directly supervise and coordinate activities of security workers and security guards.,Directly supervise and coordinate activities of security workers and security guards.,,,,,,,"First-line supervisors of security workers coordinate and oversee security personnel who protect people, property, and assets. They assign patrol routes, monitor surveillance systems, and ensure guards follow proper protocols. These supervisors handle scheduling, training, and performance evaluations while responding to security incidents and emergencies. Most positions require experience in security work plus leadership skills."
Detailed,33-1099,"First-Line Supervisors of Protective Service Workers, All Other","first-line supervisors of protective service workers, all other",All protective service supervisors not listed separately above.,All protective service supervisors not listed separately above.,,,,,,,"First-line supervisors of protective service workers manage specialized safety personnel not covered by other categories, including crossing guards, gaming surveillance officers, and transportation security screeners. They coordinate daily operations, ensure compliance with safety regulations, and train staff on proper procedures. These supervisors bridge the gap between front-line workers and upper management in various protective service environments."
Detailed,33-2011,Firefighters,firefighters,"Control and extinguish fires or respond to emergency situations where life, property, or the environment is at risk. Duties may include fire prevention, emergency medical service, hazardous material response, search and rescue, and disaster assistance.","Control and extinguish fires or respond to emergency situations where life, property, or the environment is at risk. Duties may include fire prevention, emergency medical service, hazardous material response, search and rescue, and disaster assistance.",,,,,,,"Firefighters respond to emergencies involving fires, medical crises, hazardous materials, and natural disasters. Beyond extinguishing blazes, they perform rescue operations, provide emergency medical care, and conduct safety inspections. Modern firefighters spend significant time on medical calls, as many departments provide emergency medical services. Most complete extensive training at fire academies and maintain certifications in CPR and emergency medical techniques."
Detailed,33-2021,Fire Inspectors and Investigators,fire inspectors and investigators,"Inspect buildings to detect fire hazards and enforce local ordinances and state laws, or investigate and gather facts to determine cause of fires and explosions.","Inspect buildings to detect fire hazards and enforce local ordinances and state laws, or investigate and gather facts to determine cause of fires and explosions.",,,,,,,"Fire inspectors and investigators serve as safety detectives, examining buildings for fire code violations and determining the causes of blazes and explosions. They review construction plans, test fire safety equipment, and issue citations for violations. When fires occur, these specialists collect evidence, interview witnesses, and work with law enforcement to determine whether incidents were accidental or intentional."
Detailed,33-2022,Forest Fire Inspectors and Prevention Specialists,forest fire inspectors and prevention specialists,"Enforce fire regulations, inspect forest for fire hazards, and recommend forest fire prevention or control measures. May report forest fires and weather conditions.","Enforce fire regulations, inspect forest for fire hazards, and recommend forest fire prevention or control measures. May report forest fires and weather conditions.",,"<p>Primarily employed by state and local governments, forest fire inspectors and prevention specialists play a crucial role in the prevention and management of forest fires. These employees not only inspect woods and forests for fire hazards, but they also enforce regulations and recommend fire control methods.</p>",,,,,"Forest fire inspectors and prevention specialists protect wilderness areas by monitoring fire hazards and enforcing safety regulations in forests and wildlands. They patrol remote areas, assess weather conditions, and educate the public about fire prevention. During fire season, these specialists coordinate with firefighting crews, report dangerous conditions, and implement controlled burns to reduce fuel loads that could spark devastating wildfires."
Detailed,33-3011,Bailiffs,bailiffs,Maintain order in courts of law.,Maintain order in courts of law.,,"<p>Bailiffs are often seen in courtroom dramas on TV. These professionals maintain order in the court, whether they're protecting the judge, calling in witnesses, collecting evidence from legal teams, or securing a sequestered jury. </p>",,,,,"Bailiffs ensure courtroom safety and maintain order during legal proceedings. They escort defendants, manage evidence, and enforce court rules while judges and attorneys conduct business. These law enforcement officers also serve legal documents and may transport prisoners between facilities. Most bailiffs complete police academy training or have prior law enforcement experience before specializing in court security."
Detailed,33-3012,Correctional Officers and Jailers,correctional officers and jailers,"Guard inmates in penal or rehabilitative institutions in accordance with established regulations and procedures. May guard prisoners in transit between jail, courtroom, prison, or other point. Includes deputy sheriffs and police who spend the majority of their time guarding prisoners in correctional institutions.","Guard inmates in penal or rehabilitative institutions in accordance with established regulations and procedures. May guard prisoners in transit between jail, courtroom, prison, or other point. Includes deputy sheriffs and police who spend the majority of their time guarding prisoners in correctional institutions.",,"<p>Correctional officers and jailers guard inmates in prisons, in addition to shepherding them to jail, court, and other locations. State and local governments employ the most correctional officers—the federal government employs just over 15,000.</p>",,,,,"Correctional officers supervise inmates in jails, prisons, and detention facilities while ensuring institutional safety and security. They conduct searches, monitor prisoner activities, and escort inmates to various locations within facilities. These officers also write reports on incidents and inmate behavior. The role requires physical and mental resilience, as officers work in potentially dangerous environments with strict protocols."
Detailed,33-3021,Detectives and Criminal Investigators,detectives and criminal investigators,"Conduct investigations related to suspected violations of federal, state, or local laws to prevent or solve crimes. Excludes “Private Detectives and Investigators” (33-9021).","Conduct investigations related to suspected violations of federal, state, or local laws to prevent or solve crimes.",,"<p>Detectives and criminal investigators work for federal, state, or local governments to prevent and investigate crimes. In most police departments, the only way to become a detective is through first becoming a police officer and being promoted through the ranks.</p>",,,,,"Detectives and criminal investigators solve crimes by gathering evidence, interviewing witnesses, and analyzing case details. They specialize in areas like fraud, homicide, or cybercrime, working closely with forensic experts and other law enforcement agencies. These professionals spend considerable time reviewing documents, conducting surveillance, and building cases for prosecution. Strong analytical skills and attention to detail are essential."
Detailed,33-3031,Fish and Game Wardens,fish and game wardens,Patrol assigned area to prevent fish and game law violations. Investigate reports of damage to crops or property by wildlife. Compile biological data.,Patrol assigned area to prevent fish and game law violations. Investigate reports of damage to crops or property by wildlife. Compile biological data.,,,,,,,"Fish and game wardens protect wildlife and natural resources by enforcing hunting, fishing, and environmental regulations. They patrol wilderness areas, investigate poaching cases, and educate the public about conservation laws. These officers also rescue injured animals and assist with wildlife research. The job combines law enforcement duties with outdoor work, requiring both legal knowledge and understanding of wildlife behavior."
Detailed,33-3041,Parking Enforcement Workers,parking enforcement workers,"Patrol assigned area, such as public parking lot or city streets to issue tickets to overtime parking violators and illegally parked vehicles.","Patrol assigned area, such as public parking lot or city streets to issue tickets to overtime parking violators and illegally parked vehicles.",,,,,,,"Parking enforcement workers patrol designated areas to ensure compliance with parking regulations and issue citations for violations. They use handheld devices to document infractions, check parking meters, and respond to citizen complaints about illegally parked vehicles. These workers help maintain traffic flow in busy urban areas while generating revenue for municipalities through fines and fees."
Detailed,33-3051,Police and Sheriff’s Patrol Officers,police and sheriff’s patrol officers,"Maintain order and protect life and property by enforcing local, tribal, state, or federal laws and ordinances. Perform a combination of the following duties: patrol a specific area; direct traffic; issue traffic summonses; investigate accidents; apprehend and arrest suspects, or serve legal processes of courts. Includes police officers working at educational institutions.","Maintain order and protect life and property by enforcing local, tribal, state, or federal laws and ordinances. Perform a combination of the following duties: patrol a specific area; direct traffic; issue traffic summonses; investigate accidents; apprehend and arrest suspects, or serve legal processes of courts. Includes police officers working at educational institutions.",,,,,,,"Police and sheriff's patrol officers serve as the front line of law enforcement, patrolling designated areas to maintain public safety and order. They respond to emergency calls, conduct traffic stops, investigate accidents, and apprehend suspects when necessary. These officers also serve legal documents and may work in specialized settings like schools. Most departments require academy training and ongoing education to keep officers current on laws and procedures."
Detailed,33-3052,Transit and Railroad Police,transit and railroad police,"Protect and police railroad and transit property, employees, or passengers.","Protect and police railroad and transit property, employees, or passengers.",,"<p>Transit and railroad police protect railroad and transit property on behalf of transportation agencies or state and local governments. Most transit and railroad police jobs are located in New York, likely as part of local transit agencies such as the Metropolitan Transportation Authority that runs the New York City subway system.</p>",,,,,"Transit and railroad police specialize in protecting transportation systems, their employees, and passengers from crime and safety threats. They patrol train stations, rail yards, and transit facilities while investigating incidents ranging from vandalism to serious crimes. These officers must understand both general law enforcement and the unique security challenges of transportation networks, often working closely with federal agencies on matters involving interstate commerce."
Detailed,33-9011,Animal Control Workers,animal control workers,"Handle animals for the purpose of investigations of mistreatment, or control of abandoned, dangerous, or unattended animals.","Handle animals for the purpose of investigations of mistreatment, or control of abandoned, dangerous, or unattended animals.",,,,,,,"Animal control workers respond to calls involving stray, dangerous, or mistreated animals in their communities. They investigate reports of animal cruelty, capture loose animals, and ensure compliance with local animal ordinances. These professionals also educate the public about responsible pet ownership and may assist with wildlife management. The job requires physical stamina, animal handling skills, and the ability to work with distressed animals and upset owners."
Detailed,33-9021,Private Detectives and Investigators,private detectives and investigators,"Gather, analyze, compile, and report information regarding individuals or organizations to clients, or detect occurrences of unlawful acts or infractions of rules in private establishment.","Gather, analyze, compile, and report information regarding individuals or organizations to clients, or detect occurrences of unlawful acts or infractions of rules in private establishment.",,"<p>Most states require private detectives and investigators to obtain a license, but there's no educational requirements for this field. Depending on the case, private investigators might spend their time performing research in an office, conducting interviews, or even carrying out surveillance in the field.</p>",,,,,"Private detectives and investigators gather information for clients ranging from individuals to corporations and law firms. They conduct surveillance, interview witnesses, research backgrounds, and compile detailed reports on their findings. These professionals often specialize in areas like insurance fraud, missing persons, or corporate investigations. Many states require licensing, and successful investigators typically have backgrounds in law enforcement, military service, or related fields."
